author,date,topic,doc_nb,word_nb,char_nb,doc_ids
Barry Gardiner,2016-09-07,P3,4.545455e-03,   0.2409091,    1.581818,
Barry Gardiner,2016-09-07,P4,4.545455e-03,   0.2409091,    1.581818,
Barry Gardiner,2016-09-07,P5,4.545455e-03,   0.2409091,    1.581818,
Barry Gardiner,2016-09-07,P6,5.000000e-02,   2.6500000,   17.400000,
Barry Gardiner,2016-09-07,P7,7.772727e-01,  41.1954545,  270.490909,uk.org.publicwhip/debate/2016-09-07b.371.5
Barry Gardiner,2016-09-07,P8,4.545455e-03,   0.2409091,    1.581818,
Barry Gardiner,2016-09-07,P9,4.545455e-03,   0.2409091,    1.581818,
Barry Gardiner,2019-04-23,P1,2.638522e-04,   0.2395778,    1.412401,
Barry Gardiner,2019-04-23,P10,5.540897e-03,   5.0311346,   29.660422,
Barry Gardiner,2019-04-23,P2,2.638522e-04,   0.2395778,    1.412401,
Barry Gardiner,2019-04-23,P3,1.609499e-02,  14.6142480,   86.156464,
Barry Gardiner,2019-04-23,P4,1.873351e-02,  17.0100264,  100.280475,
Barry Gardiner,2019-04-23,P5,1.163588e-01, 105.6538259,  622.868865,
Barry Gardiner,2019-04-23,P6,3.643799e-01, 330.8569921, 1950.525858,uk.org.publicwhip/debate/2019-04-23a.674.0
Barry Gardiner,2019-04-23,P7,2.905013e-01, 263.7751979, 1555.053562,
Barry Gardiner,2019-04-23,P8,1.875989e-01, 170.3398417, 1004.217150,
Barry Gardiner,2019-04-23,P9,2.638522e-04,   0.2395778,    1.412401,
Barry Sheerman,2019-04-24,P1,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,2019-04-24,P10,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,2019-04-24,P2,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,2019-04-24,P3,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,2019-04-24,P4,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,2019-04-24,P5,4.809524e-01,  28.3761905,  165.928571,uk.org.publicwhip/debate/2019-04-24b.734.0
Barry Sheerman,2019-04-24,P6,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,2019-04-24,P7,4.809524e-01,  28.3761905,  165.928571,
Barry Sheerman,2019-04-24,P8,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,2019-04-24,P9,4.761905e-03,   0.2809524,    1.642857,
Bill Grant,2019-10-17,P1,4.313725e-03,   2.5925490,   15.283529,
Bill Grant,2019-10-17,P10,5.137255e-02,  30.8749020,  182.012941,
Bill Grant,2019-10-17,P2,3.921569e-04,   0.2356863,    1.389412,
Bill Grant,2019-10-17,P3,1.258824e-01,  75.6552941,  446.001176,
Bill Grant,2019-10-17,P4,2.003922e-01, 120.4356863,  709.989412,
Bill Grant,2019-10-17,P5,1.258824e-01,  75.6552941,  446.001176,
Bill Grant,2019-10-17,P6,1.141176e-01,  68.5847059,  404.318824,
Bill Grant,2019-10-17,P7,1.023529e-01,  61.5141176,  362.636471,
Bill Grant,2019-10-17,P8,2.749020e-01, 165.2160784,  973.977647,uk.org.publicwhip/debate/2019-10-17c.534.0
Bill Grant,2019-10-17,P9,3.921569e-04,   0.2356863,    1.389412,
Boris Johnson,2019-10-30,P1,2.265306e-01,  31.2612245,  177.146939,
Boris Johnson,2019-10-30,P10,4.285714e-02,   5.9142857,   33.514286,
Boris Johnson,2019-10-30,P2,4.285714e-02,   5.9142857,   33.514286,
Boris Johnson,2019-10-30,P3,2.040816e-03,   0.2816327,    1.595918,
Boris Johnson,2019-10-30,P4,2.040816e-03,   0.2816327,    1.595918,
Boris Johnson,2019-10-30,P5,2.040816e-03,   0.2816327,    1.595918,
Boris Johnson,2019-10-30,P6,2.040816e-03,   0.2816327,    1.595918,
